id,propertyID,uRL,description,location,type,details,url2,price,priceHistory,endAuction,statusAuction
520,Code: 194170,https://www.biddit.be/fr/catalog/detail/194170,Magnifique appartement bord de meuse,5000 Namur,Appartement,"Informations descriptives
Surface habitable
105 m²
Type de chauffage
Gaz
Chauffage central
Nombre de salles de bain
1
Living
Salle à manger
Cave
Informations énergétiques
Code unique du certificat PEB
20200226014632
Consommation spécifique d'énergie primaire en KWh/m²/an
507
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
53246
PEB
Double vitrage
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 969",,€ 251.000,"02/04/2021, 15:19:55
Enchère
€ 251.000
02/04/2021, 15:19:55
Enchère
€ 250.000
02/04/2021, 15:14:54
Enchère
€ 249.000
02/04/2021, 15:14:54
Enchère
€ 248.000
02/04/2021, 15:09:53
Enchère
€ 247.000
02/04/2021, 15:09:53
Enchère
€ 246.000
02/04/2021, 15:04:48
Enchère
€ 245.000
02/04/2021, 15:04:48
Enchère
€ 244.000
02/04/2021, 15:04:32
Enchère
€ 243.000
02/04/2021, 15:04:32
Enchère
€ 242.000
02/04/2021, 14:59:56
Enchère
€ 241.000
02/04/2021, 14:59:56
Enchère
€ 241.000
02/04/2021, 14:59:04
Enchère
€ 240.000
02/04/2021, 14:59:04
Enchère
€ 239.000
02/04/2021, 14:57:43
Enchère
€ 238.000
02/04/2021, 14:57:43
Enchère
€ 237.000
02/04/2021, 14:52:07
Enchère
€ 236.000
02/04/2021, 14:52:07
Enchère
€ 235.000
02/04/2021, 14:43:45
Enchère
€ 234.000
02/04/2021, 14:43:45
Enchère
€ 233.000
Afficher l’historique des enchères",,
521,Code: 193815,https://www.biddit.be/fr/catalog/detail/193815,Gerenoveerde woning met 3 slaapkamers,8800 Roeselare,Maison,"Informations descriptives
Surface terrain
256 m²
État du bâtiment
Remis à neuf
Type de chauffage
Gaz
Informations énergétiques
Code unique du certificat PEB
20210117-0002360626-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 547
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
woongebieden
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP
Données relatives à la protection du patrimoine
L'immeuble est-il protégé ou repris dans un inventaire établi? (info: www.onroerenderfgoed.be)
Non",,€ 214.000,"02/04/2021, 15:01:40
Enchère
€ 214.000
02/04/2021, 15:01:40
Enchère
€ 213.000
02/04/2021, 14:58:48
Enchère
€ 212.000
02/04/2021, 14:58:48
Enchère
€ 211.000
02/04/2021, 14:55:24
Enchère
€ 210.000
02/04/2021, 14:55:24
Enchère
€ 209.000
02/04/2021, 14:54:38
Enchère
€ 208.000
02/04/2021, 14:54:38
Enchère
€ 207.000
02/04/2021, 14:54:24
Enchère
€ 206.000
02/04/2021, 14:54:24
Enchère
€ 205.000
02/04/2021, 14:54:09
Enchère
€ 204.000
02/04/2021, 14:54:09
Enchère
€ 203.000
02/04/2021, 14:52:57
Enchère
€ 202.000
02/04/2021, 14:52:57
Enchère
€ 201.000
02/04/2021, 14:50:33
Enchère
€ 200.000
02/04/2021, 14:50:33
Enchère
€ 199.000
02/04/2021, 14:48:19
Enchère
€ 198.000
02/04/2021, 14:48:19
Enchère
€ 197.000
02/04/2021, 14:47:22
Enchère
€ 196.000
02/04/2021, 14:47:22
Enchère
€ 195.000
Afficher l’historique des enchères",,
522,Code: 194294,https://www.biddit.be/fr/catalog/detail/194294,Appartement 1ch avec terrasse,1060 Saint-Gilles,Flat / Studio,"Informations descriptives
Année de construction
1964
Surface habitable
50 m²
État du bâtiment
Bon
Environnement
Urbain
Nombre de salles de bain
1
Nombre de toilettes
1
Nombre d'étages
6
Étage du bien
6
Ascenseur
Living
Salle à manger
Cave
Informations sur le jardin et terrain
Terrasse
Informations sur les commodités et facilités
Écoles
Trains
Bus
Commerces
Trams
Métro
Informations énergétiques
Consommation spécifique d'énergie primaire en KWh/m²/an
787
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
42810
Panneaux solaires
Attestation de conformité de l'installation électrique
Oui, non conforme
Autres remarques
Remise aux normes de l'installation électrique à charge de l'adjudicataire.
Informations financières
Libre à partir du
À définir
Revenu cadastral
€ 713
Immeuble de rapport
Informations urbanistiques
Destination urbanistique licite la plus récente
Zones d'habitation
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Des infractions concernant le bien dans le cadre des articles 300 et 301 COBAT ont-elles été constatées, auxquelles il n'a pas encore été mis fin ?
Frappé d'interdiction à la location
Repris à l'inventaire sites d'activité inexploités
Plan d'alignement en vigueur
Le bien est-il repris dans les limites d'un plan d'expropriation selon la commune?
Situé dans périmètre préemption
Permis d'urbanisme
Numéro
/
Date
12/06/1963
Intitulé
Construire l'immeuble",,€ 150.000,"02/04/2021, 15:04:35
Enchère
€ 150.000
02/04/2021, 15:04:35
Enchère
€ 150.000
02/04/2021, 15:04:35
Enchère
€ 149.000
02/04/2021, 15:03:50
Enchère
€ 148.000
02/04/2021, 15:03:50
Enchère
€ 148.000
02/04/2021, 15:03:50
Enchère
€ 147.000
02/04/2021, 15:02:09
Enchère
€ 146.000
02/04/2021, 15:02:09
Enchère
€ 145.000
02/04/2021, 15:02:09
Enchère
€ 144.000
02/04/2021, 15:01:51
Enchère
€ 143.000
02/04/2021, 15:01:51
Enchère
€ 142.000
02/04/2021, 15:01:51
Enchère
€ 141.000
02/04/2021, 15:01:49
Enchère
€ 140.000
02/04/2021, 15:01:49
Enchère
€ 139.000
02/04/2021, 15:01:30
Enchère
€ 138.000
02/04/2021, 15:01:30
Enchère
€ 137.000
02/04/2021, 15:01:04
Enchère
€ 136.000
02/04/2021, 15:01:04
Enchère
€ 135.000
02/04/2021, 15:01:04
Enchère
€ 134.000
02/04/2021, 15:00:41
Enchère
€ 133.000
Afficher l’historique des enchères",,
523,Code: 193334,https://www.biddit.be/fr/catalog/detail/193334,Centraal gelegen duplex app,8310 Sint-Kruis,Duplex,"Informations descriptives
Année de construction
2008
Surface habitable
117 m²
Nombre de façades
2
Nombre de salles de bain
1
Nombre de salles de douche
1
Nombre de toilettes
2
Living
Cuisine équipée
Informations sur le jardin et terrain
Terrasse
Informations énergétiques
Code unique du certificat PEB
20120121-0001017992-00000008-9
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 725
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application",,€ 287.000,"02/04/2021, 13:44:36
Enchère
€ 287.000
02/04/2021, 13:35:07
Enchère
€ 285.000
02/04/2021, 13:34:37
Enchère
€ 284.000
02/04/2021, 13:29:40
Enchère
€ 283.000
02/04/2021, 13:24:53
Enchère
€ 282.000
02/04/2021, 13:15:25
Enchère
€ 281.000
02/04/2021, 13:14:57
Enchère
€ 277.000
02/04/2021, 13:09:53
Enchère
€ 275.000
02/04/2021, 13:04:57
Enchère
€ 274.000
02/04/2021, 12:59:57
Enchère
€ 273.000
02/04/2021, 12:59:43
Enchère
€ 272.000
02/04/2021, 12:55:59
Enchère
€ 271.000
02/04/2021, 12:55:28
Enchère
€ 270.000
02/04/2021, 12:55:28
Enchère
€ 269.000
02/04/2021, 12:54:55
Enchère
€ 268.000
02/04/2021, 12:54:55
Enchère
€ 267.000
02/04/2021, 12:53:11
Enchère
€ 266.000
02/04/2021, 12:53:11
Enchère
€ 265.000
02/04/2021, 12:52:34
Enchère
€ 264.000
02/04/2021, 12:52:34
Enchère
€ 263.000
Afficher l’historique des enchères",,
524,Code: 193765,https://www.biddit.be/fr/catalog/detail/193765,Vernieuwde ruime woning,8670 Koksijde,Maison,"Informations descriptives
Surface terrain
706 m²
Nombre de façades
4
Nombre de salles de bain
2
Nombre de salles de douche
1
Nombre de toilettes
3
Living
Salle à manger
Cave
Cuisine équipée
Informations supplémentaires
Grenier
Grenier accessible par escalier fixe
Dressing
Informations sur le jardin et terrain
Terrasse
Jardin
Orientation jardin
S
Informations énergétiques
Code unique du certificat PEB
20201023-0002331527-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 617
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir",,€ 528.000,"02/04/2021, 13:04:33
Enchère
€ 528.000
02/04/2021, 13:04:33
Enchère
€ 527.000
02/04/2021, 12:58:33
Enchère
€ 526.000
02/04/2021, 12:58:33
Enchère
€ 525.000
02/04/2021, 12:57:34
Enchère
€ 523.000
02/04/2021, 12:57:34
Enchère
€ 522.000
02/04/2021, 12:53:27
Enchère
€ 521.000
02/04/2021, 12:53:27
Enchère
€ 520.000
02/04/2021, 12:47:41
Enchère
€ 518.000
02/04/2021, 12:47:41
Enchère
€ 517.000
02/04/2021, 12:44:49
Enchère
€ 516.000
02/04/2021, 12:44:49
Enchère
€ 515.000
02/04/2021, 12:44:36
Enchère
€ 514.000
02/04/2021, 12:44:36
Enchère
€ 513.000
02/04/2021, 12:43:59
Enchère
€ 512.000
02/04/2021, 12:43:59
Enchère
€ 511.000
02/04/2021, 12:42:09
Enchère
€ 510.000
02/04/2021, 12:42:09
Enchère
€ 510.000
02/04/2021, 12:42:09
Enchère
€ 509.000
02/04/2021, 12:42:09
Enchère
€ 508.000
Afficher l’historique des enchères",,
525,Code: 194357,https://www.biddit.be/fr/catalog/detail/194357,Verzorgde instapklare woning,3850 Nieuwerkerken,Maison,"Informations descriptives
Année de construction
1975
Surface terrain
528 m²
Surface habitable
164 m²
Nombre de façades
3
Nombre de salles de bain
1
Informations supplémentaires
Parking(s) à l'intérieur
1
Informations énergétiques
Code unique du certificat PEB
20190809-0002184338-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 721
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
woongebied
Type de zone inondable
Pas d’application
Permis d'urbanisme",,€ 187.000,"02/04/2021, 13:01:37
Enchère
€ 187.000
02/04/2021, 13:01:14
Enchère
€ 186.000
02/04/2021, 13:00:10
Enchère
€ 185.000
02/04/2021, 12:59:49
Enchère
€ 184.000
02/04/2021, 12:57:55
Enchère
€ 183.000
02/04/2021, 12:57:41
Enchère
€ 182.000
02/04/2021, 12:47:33
Enchère
€ 181.000
02/04/2021, 12:20:49
Enchère
€ 180.000
02/04/2021, 12:20:22
Enchère
€ 179.000
02/04/2021, 09:59:32
Enchère
€ 178.000
02/04/2021, 09:51:35
Enchère
€ 177.000
02/04/2021, 09:51:35
Enchère
€ 176.000
02/04/2021, 08:49:23
Enchère
€ 175.000
02/04/2021, 08:49:23
Enchère
€ 174.000
02/04/2021, 08:49:10
Enchère
€ 173.000
02/04/2021, 08:49:10
Enchère
€ 172.000
02/04/2021, 08:48:57
Enchère
€ 171.000
02/04/2021, 08:48:57
Enchère
€ 170.000
02/04/2021, 08:35:24
Enchère
€ 169.000
02/04/2021, 08:35:24
Enchère
€ 168.000
Afficher l’historique des enchères",,
526,Code: 193669,https://www.biddit.be/fr/catalog/detail/193669,Gerenoveerde opbrengsteigendom,2640 Mortsel,Maison,"Informations descriptives
Surface terrain
81 m²
État du bâtiment
Remis à neuf
Nombre de façades
2
Nombre de salles de bain
2
Nombre de toilettes
2
Living
Cave
Cuisine équipée
Informations supplémentaires
Grenier
Grenier isolé
Informations sur le jardin et terrain
Terrasse
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 582
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 280.000,"29/03/2021, 18:48:19
Enchère
€ 280.000
25/03/2021, 13:00:00
Mise à prix
€ 280.000",,
527,Code: 193249,https://www.biddit.be/fr/catalog/detail/193249,Hoeve met stallen,1780 Wemmel,Maison,"Informations descriptives
Surface terrain
3352 m²
Nombre de façades
4
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Salle à manger
Cuisine équipée
Informations supplémentaires
Grenier
Informations énergétiques
Code unique du certificat PEB
20200630-0002288185-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 966
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Entièrement dans une zone sensible aux inondations possibles
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 890.000,"02/04/2021, 12:24:51
Enchère
€ 890.000
02/04/2021, 12:21:25
Enchère
€ 876.000
02/04/2021, 12:21:06
Enchère
€ 872.000
02/04/2021, 12:19:49
Enchère
€ 871.000
02/04/2021, 12:19:45
Enchère
€ 870.000
02/04/2021, 12:15:40
Enchère
€ 861.000
02/04/2021, 12:15:01
Enchère
€ 860.000
02/04/2021, 12:14:53
Enchère
€ 858.000
02/04/2021, 12:14:49
Enchère
€ 857.000
02/04/2021, 12:14:43
Enchère
€ 856.000
02/04/2021, 12:14:41
Enchère
€ 855.000
02/04/2021, 12:12:15
Enchère
€ 853.000
02/04/2021, 12:10:00
Enchère
€ 852.000
02/04/2021, 12:09:54
Enchère
€ 851.000
02/04/2021, 12:09:50
Enchère
€ 850.000
02/04/2021, 12:06:17
Enchère
€ 840.000
02/04/2021, 12:04:33
Enchère
€ 835.000
02/04/2021, 11:59:58
Enchère
€ 825.000
02/04/2021, 11:59:41
Enchère
€ 820.000
02/04/2021, 11:59:20
Enchère
€ 815.000
Afficher l’historique des enchères",,
528,Code: 193824,https://www.biddit.be/fr/catalog/detail/193824,Lot 3 - woning met ruime tuin (20a 15ca),3040 Neerijse,Maison,"Informations descriptives
Année de construction
1959
Type de chauffage
Mazout
Chauffage central
Nombre de façades
4
Nombre de toilettes
1
Living
Cave
Informations supplémentaires
Grenier
Grenier isolé
Grenier accessible par escalier fixe
Raccordement à l'égoût
Informations sur le jardin et terrain
Jardin
Orientation jardin
O
Largeur terrain
28.76 m
Terrain plat
Profondeur du terrain
66.5 m
Terrain front de rue
Informations énergétiques
Code unique du certificat PEB
20190806-0002183460-RES-1
PEB
Panneaux solaires
Attestation de conformité de l'installation électrique
Oui, non conforme
Citerne à mazout, gaz ou autre
Capacité
5000
Attestation de conformité des citernes à mazout, gaz ou autre
Oui, conforme
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Deels Wglk en deels Lwag
Type de zone inondable
Entièrement dans une zone sensible aux inondations possibles
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP
Données relatives à la protection du patrimoine
L'immeuble est-il protégé ou repris dans un inventaire établi? (info: www.onroerenderfgoed.be)
Non",,€ 341.000,"02/04/2021, 12:06:00
Enchère
€ 341.000
02/04/2021, 12:06:00
Enchère
€ 340.000
02/04/2021, 12:02:06
Enchère
€ 336.000
02/04/2021, 12:02:06
Enchère
€ 335.000
02/04/2021, 11:59:03
Enchère
€ 331.000
02/04/2021, 11:59:03
Enchère
€ 330.000
02/04/2021, 11:58:43
Enchère
€ 327.000
02/04/2021, 11:58:43
Enchère
€ 326.000
02/04/2021, 11:58:30
Enchère
€ 325.000
02/04/2021, 11:58:30
Enchère
€ 324.000
02/04/2021, 11:57:17
Enchère
€ 323.000
02/04/2021, 11:57:17
Enchère
€ 322.000
02/04/2021, 11:54:50
Enchère
€ 321.000
02/04/2021, 11:54:50
Enchère
€ 320.000
02/04/2021, 11:54:50
Enchère
€ 319.000
02/04/2021, 11:54:50
Enchère
€ 318.000
02/04/2021, 11:54:50
Enchère
€ 317.000
02/04/2021, 11:54:50
Enchère
€ 316.000
02/04/2021, 11:54:50
Enchère
€ 315.000
02/04/2021, 11:54:50
Enchère
€ 314.000
Afficher l’historique des enchères",,
529,Code: 194054,https://www.biddit.be/fr/catalog/detail/194054,Ensemble composé d'une villa et du terrain adajcent,1410 Waterloo,Villa,"Informations descriptives
Année de construction
1964
Surface terrain
523 m²
Surface habitable
285 m²
État du bâtiment
À rafraichir
Type de chauffage
Gaz
Nombre de façades
4
Nombre d'unités d'habitation (selon l'urbanisme)
1
Nombre de salles de bain
1
Nombre de salles de douche
1
Nombre de toilettes
2
Nombre d'étages
2
Living
Salle à manger
Cave
Informations supplémentaires
Grenier
Grenier isolé
Raccordement à l'égoût
Buanderie
Parking(s) à l'intérieur
2
Parking(s) à l'éxtérieur
1
Informations sur le jardin et terrain
Terrasse
Jardin
Orientation jardin
O
Largeur façade
10 m
Informations sur les commodités et facilités
Trains
Distance gare
2300 m
Commerces
Distance commerces
500 m
Accès autoroute
Distance autoroute
1300 m
Informations énergétiques
Code unique du certificat PEB
20191104014728
Consommation spécifique d'énergie primaire en KWh/m²/an
377
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
107458
PEB
Panneaux solaires
Double vitrage
Attestation de conformité de l'installation électrique
Oui, non conforme
Citerne à mazout, gaz ou autre
Attestation de conformité des citernes à mazout, gaz ou autre
Non
Test d’étanchéité
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 3.701
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
N° du permis d'urbanisation ou permis de lotir
Chantecler
Date du permis d'urbanisation ou permis de lotir
01/07/1960
Droit de préemption
Vente soumise à autorisation
Site Natura 2000 pressenti ou désigné
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",,€ 460.000,"02/04/2021, 11:13:44
Enchère
€ 460.000
26/03/2021, 15:09:29
Enchère
€ 457.500
26/03/2021, 10:50:47
Enchère
€ 455.000
25/03/2021, 22:38:26
Enchère
€ 452.500
25/03/2021, 12:00:14
Enchère
€ 450.000
25/03/2021, 12:00:00
Mise à prix
€ 450.000",,
