id,propertyID,uRL,description,location,type,details,url2,price,priceHistory,endAuction,statusAuction
2885,Code: 194704,https://www.biddit.be/fr/catalog/detail/194704,Te renoveren woning,2620 Hemiksem,Maison,"Informations descriptives
Surface terrain
575 m²
État du bâtiment
À rénover
Nombre de façades
3
Nombre de salles de bain
1
Living
Salle à manger
Cave
Informations supplémentaires
Grenier
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20210226-0002379199-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 531
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application",,€ 256.000,"28/04/2021, 15:49:45
Enchère
€ 256.000
28/04/2021, 15:49:17
Enchère
€ 255.000
28/04/2021, 15:48:45
Enchère
€ 254.000
28/04/2021, 15:47:30
Enchère
€ 253.000
28/04/2021, 15:47:05
Enchère
€ 252.000
28/04/2021, 15:46:40
Enchère
€ 251.000
28/04/2021, 15:44:34
Enchère
€ 250.000
28/04/2021, 15:44:11
Enchère
€ 249.000
28/04/2021, 15:39:50
Enchère
€ 248.000
28/04/2021, 15:39:07
Enchère
€ 247.000
28/04/2021, 15:36:48
Enchère
€ 246.000
28/04/2021, 15:34:49
Enchère
€ 245.000
28/04/2021, 15:34:37
Enchère
€ 244.000
28/04/2021, 15:33:17
Enchère
€ 242.000
28/04/2021, 15:31:47
Enchère
€ 241.000
28/04/2021, 15:31:38
Enchère
€ 240.000
28/04/2021, 15:31:15
Enchère
€ 238.000
28/04/2021, 15:31:07
Enchère
€ 237.000
28/04/2021, 15:30:57
Enchère
€ 236.000
28/04/2021, 15:30:15
Enchère
€ 235.000
Afficher l’historique des enchères",se termine le 28/04/2021 à 15:55 heure(s),"Temps restant
00
heures
:
03
min
:
10
sec
se termine le 28/04/2021 à 15:55 heure(s)


Vous ne pouvez enchérir que si vous avez déjà enchéri préalablement"
2886,Code: 195583,https://www.biddit.be/fr/catalog/detail/195583,Mooi gelegen ééngezinswoning,3520 Zonhoven,Maison,"Informations descriptives
Année de construction
1970
Surface terrain
686 m²
Surface habitable
180 m²
État du bâtiment
À rénover
Type de chauffage
Mazout
Nombre de façades
4
Nombre de salles de bain
1
Informations supplémentaires
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20200621-0002284660-RES-1
Double vitrage
Citerne à mazout, gaz ou autre
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 904
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied met landelijk karakter
Type de zone inondable
Pas d’application
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 158.000,"28/04/2021, 15:12:14
Enchère
€ 158.000
28/04/2021, 06:59:01
Enchère
€ 157.000
27/04/2021, 20:23:17
Enchère
€ 156.000
27/04/2021, 12:38:03
Enchère
€ 155.000
26/04/2021, 22:33:44
Enchère
€ 154.000
26/04/2021, 12:18:42
Enchère
€ 153.000
25/04/2021, 15:53:24
Enchère
€ 152.000
24/04/2021, 11:29:42
Enchère
€ 151.000
21/04/2021, 10:00:19
Enchère
€ 150.000
21/04/2021, 10:00:00
Mise à prix
€ 150.000",se termine le 29/04/2021 à 10:00 heure(s),"Temps restant
18
heures
:
08
min
:
10
sec
se termine le 29/04/2021 à 10:00 heure(s)"
2887,Code: 194232,https://www.biddit.be/fr/catalog/detail/194232,Woning,3570 Alken,Maison,"Informations descriptives
Année de construction
1970
Surface terrain
1866 m²
Type de chauffage
Gaz
Nombre de façades
4
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Bureau
Cave
Cuisine équipée
Informations supplémentaires
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20210110-0002357919-RES-1
Double vitrage
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 941
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied met landelijk karakter
Type de zone inondable
Pas d’application
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir",,€ 128.000,"28/04/2021, 15:12:50
Enchère
€ 128.000
28/04/2021, 13:34:55
Enchère
€ 127.000
28/04/2021, 13:24:47
Enchère
€ 126.000
27/04/2021, 16:11:00
Enchère
€ 125.000
27/04/2021, 14:20:05
Enchère
€ 124.000
26/04/2021, 20:08:33
Enchère
€ 123.000
26/04/2021, 18:39:52
Enchère
€ 122.000
26/04/2021, 18:31:54
Enchère
€ 121.000
26/04/2021, 18:14:34
Enchère
€ 120.000
26/04/2021, 12:19:18
Enchère
€ 119.000
26/04/2021, 12:17:00
Enchère
€ 118.000
26/04/2021, 12:07:33
Enchère
€ 117.000
23/04/2021, 18:39:18
Enchère
€ 116.000
23/04/2021, 08:47:27
Enchère
€ 115.000
21/04/2021, 22:46:13
Enchère
€ 112.000
21/04/2021, 17:59:26
Enchère
€ 111.000
21/04/2021, 11:09:11
Enchère
€ 110.000
21/04/2021, 11:00:08
Enchère
€ 100.000
21/04/2021, 11:00:00
Mise à prix
€ 100.000",se termine le 29/04/2021 à 11:00 heure(s),"Temps restant
19
heures
:
08
min
:
10
sec
se termine le 29/04/2021 à 11:00 heure(s)"
2888,Code: 195306,https://www.biddit.be/fr/catalog/detail/195306,Gunstig gelegen en recente woning,2220 Heist-op-den-Berg,Maison,"Informations descriptives
Année de construction
2011
Surface terrain
327 m²
Nombre de façades
3
Nombre de salles de bain
2
Nombre de toilettes
2
Living
Salle à manger
Cuisine équipée
Informations supplémentaires
Grenier
Grenier accessible par escalier fixe
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Terrasse
Jardin
Informations énergétiques
Code unique du certificat PEB
12014-G-210/00117/EP03288/A001/D01/SD001
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 1.003
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 283.000,"28/04/2021, 08:46:25
Enchère
€ 283.000
27/04/2021, 22:01:16
Enchère
€ 282.000
24/04/2021, 16:54:40
Enchère
€ 281.000
24/04/2021, 16:54:40
Enchère
€ 280.000
24/04/2021, 16:54:29
Enchère
€ 279.000
24/04/2021, 16:54:29
Enchère
€ 278.000
24/04/2021, 16:53:28
Enchère
€ 277.000
24/04/2021, 16:53:28
Enchère
€ 276.000
24/04/2021, 08:54:53
Enchère
€ 275.000
24/04/2021, 08:54:53
Enchère
€ 274.000
23/04/2021, 13:57:08
Enchère
€ 273.000
23/04/2021, 13:41:18
Enchère
€ 272.000
23/04/2021, 09:36:42
Enchère
€ 271.000
22/04/2021, 17:27:34
Enchère
€ 270.000
22/04/2021, 17:26:56
Enchère
€ 259.000
22/04/2021, 17:26:56
Enchère
€ 258.000
22/04/2021, 17:26:33
Enchère
€ 257.000
22/04/2021, 17:26:33
Enchère
€ 256.000
22/04/2021, 08:48:47
Enchère
€ 255.000
21/04/2021, 18:52:45
Enchère
€ 254.000
Afficher l’historique des enchères",se termine le 29/04/2021 à 11:00 heure(s),"Temps restant
19
heures
:
08
min
:
09
sec
se termine le 29/04/2021 à 11:00 heure(s)"
2889,Code: 194183,https://www.biddit.be/fr/catalog/detail/194183,Une maison d’habitation à rafraîchir avec jardin,6030 Marchienne-au-Pont,Maison,"Informations descriptives
État du bâtiment
À rafraichir
Nombre de façades
2
Nombre d'unités d'habitation (selon l'urbanisme)
1
Informations supplémentaires
Raccordement à l'égoût
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20210126008721
Consommation spécifique d'énergie primaire en KWh/m²/an
454
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
54792
PEB
Panneaux solaires
Double vitrage
Citerne à mazout, gaz ou autre
Informations financières
Revenu cadastral
€ 475
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
N° du permis d’urbanisme
RA-39733 - Extension d’une cuisine
Date du permis d’urbanisme
23/02/2005
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",,€ 71.000,"26/04/2021, 11:31:18
Enchère
€ 71.000
26/04/2021, 11:21:22
Enchère
€ 70.000
25/04/2021, 17:45:53
Enchère
€ 65.000
23/04/2021, 20:24:37
Enchère
€ 60.000
22/04/2021, 09:03:38
Enchère
€ 59.000
21/04/2021, 19:08:07
Enchère
€ 58.000
21/04/2021, 17:29:01
Enchère
€ 57.000
21/04/2021, 12:30:38
Enchère
€ 56.000
21/04/2021, 12:29:48
Enchère
€ 55.000
21/04/2021, 12:26:20
Enchère
€ 47.000
21/04/2021, 12:00:14
Enchère
€ 46.000
21/04/2021, 12:00:05
Enchère
€ 45.000
21/04/2021, 12:00:00
Mise à prix
€ 40.000",se termine le 29/04/2021 à 12:00 heure(s),"Temps restant
20
heures
:
08
min
:
08
sec
se termine le 29/04/2021 à 12:00 heure(s)"
2890,Code: 194871,https://www.biddit.be/fr/catalog/detail/194871,Gunstig gelegen garagebox,2018 Antwerpen,Box fermé,"Informations descriptives
Année de construction
1961
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 18.500,"28/04/2021, 12:08:30
Enchère
€ 18.500
28/04/2021, 08:47:56
Enchère
€ 18.000
27/04/2021, 17:19:31
Enchère
€ 17.500
27/04/2021, 17:18:22
Enchère
€ 17.000
27/04/2021, 17:15:52
Enchère
€ 15.500
27/04/2021, 09:34:59
Enchère
€ 15.000
22/04/2021, 23:59:08
Enchère
€ 13.000
21/04/2021, 22:18:45
Enchère
€ 12.500
21/04/2021, 12:39:18
Enchère
€ 12.000
21/04/2021, 12:00:00
Mise à prix
€ 12.000",se termine le 29/04/2021 à 12:00 heure(s),"Temps restant
20
heures
:
08
min
:
03
sec
se termine le 29/04/2021 à 12:00 heure(s)"
2891,Code: 194873,https://www.biddit.be/fr/catalog/detail/194873,Autostaanplaats,2018 Antwerpen,Emplacement intérieur,"Informations descriptives
Année de construction
1971
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 10.000,"26/04/2021, 17:20:32
Enchère
€ 10.000
21/04/2021, 12:00:00
Mise à prix
€ 10.000",se termine le 29/04/2021 à 12:00 heure(s),"Temps restant
20
heures
:
08
min
:
02
sec
se termine le 29/04/2021 à 12:00 heure(s)"
2892,Code: 195191,https://www.biddit.be/fr/catalog/detail/195191,Woning met garage en tuin,3380 Glabbeek,Maison,"Informations descriptives
Année de construction
1954
Surface terrain
771 m²
Nombre de façades
3
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Salle à manger
Cave
Cuisine équipée
Informations supplémentaires
Veranda
Buanderie
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20201116-0002339788-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 728
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Entièrement dans une zone sensible aux inondations possibles
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 165.000,,se termine le 29/04/2021 à 12:00 heure(s),"Temps restant
20
heures
:
08
min
:
03
sec
se termine le 29/04/2021 à 12:00 heure(s)"
2893,Code: 195561,https://www.biddit.be/fr/catalog/detail/195561,Recente woning,3270 Scherpenheuvel,Maison,"Informations descriptives
Année de construction
2010
Surface terrain
450 m²
Nombre de façades
4
Informations énergétiques
Code unique du certificat PEB
20210228-0002378092-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 1.309
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 311.000,"27/04/2021, 18:17:40
Enchère
€ 311.000
27/04/2021, 18:17:40
Enchère
€ 310.000
27/04/2021, 18:17:40
Enchère
€ 309.000
27/04/2021, 18:17:40
Enchère
€ 308.000
27/04/2021, 18:17:40
Enchère
€ 307.000
27/04/2021, 18:17:40
Enchère
€ 306.000
27/04/2021, 18:17:40
Enchère
€ 305.000
27/04/2021, 18:17:40
Enchère
€ 304.000
27/04/2021, 16:58:36
Enchère
€ 303.000
27/04/2021, 16:58:36
Enchère
€ 302.000
24/04/2021, 08:28:01
Enchère
€ 301.000
24/04/2021, 08:28:01
Enchère
€ 300.000
24/04/2021, 08:27:52
Enchère
€ 296.000
24/04/2021, 08:27:52
Enchère
€ 295.000
24/04/2021, 08:27:28
Enchère
€ 291.000
24/04/2021, 08:27:28
Enchère
€ 290.000
24/04/2021, 08:27:04
Enchère
€ 284.000
24/04/2021, 08:27:04
Enchère
€ 283.000
24/04/2021, 08:26:38
Enchère
€ 282.000
24/04/2021, 08:26:38
Enchère
€ 281.000
Afficher l’historique des enchères",se termine le 29/04/2021 à 12:00 heure(s),"Temps restant
20
heures
:
07
min
:
59
sec
se termine le 29/04/2021 à 12:00 heure(s)"
2894,Code: 193713,https://www.biddit.be/fr/catalog/detail/193713,Gites à stavelot - situation exceptionnelle,4970 Stavelot,Autre bien,"Informations descriptives
Surface terrain
751 m²
État du bâtiment
Bon
Environnement
Rural
Nombre d'unités d'habitation (selon l'urbanisme)
2
Informations énergétiques
Code unique du certificat PEB
20210210024785
Consommation spécifique d'énergie primaire en KWh/m²/an
348
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
91581
PEB
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone d’habitat à caractère rural
Infraction urbanistique ?
Permis d'urbanisme
N° du permis d’urbanisme
PU/7539
Date du permis d’urbanisme
16/06/1999
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Droit de préemption
Vente soumise à autorisation
Site Natura 2000 pressenti ou désigné
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",,€ 191.000,"28/04/2021, 15:07:59
Enchère
€ 191.000
21/04/2021, 13:00:28
Enchère
€ 190.000
21/04/2021, 13:00:00
Mise à prix
€ 190.000",se termine le 29/04/2021 à 13:00 heure(s),"Temps restant
21
heures
:
08
min
:
01
sec
se termine le 29/04/2021 à 13:00 heure(s)"
