Code,Longitude,Latitude,Coordonnees
1000,4.351697,50.8465573,"50.8465573,4.351697"
1020,4.3487134,50.883392,"50.883392,4.3487134"
1030,4.3737121,50.8676041,"50.8676041,4.3737121"
1040,4.3895104,50.8368511,"50.8368511,4.3895104"
1050,4.3815707,50.8222854,"50.8222854,4.3815707"
1060,4.345668,50.8267409,"50.8267409,4.345668"
1070,4.3123401,50.8381411,"50.8381411,4.3123401"
1080,4.3227779,50.8543551,"50.8543551,4.3227779"
1081,4.3257084,50.8622633,"50.8622633,4.3257084"
1082,4.292702,50.8639835,"50.8639835,4.292702"
1083,4.3175103,50.8712396,"50.8712396,4.3175103"
1090,4.3260903,50.8777634,"50.8777634,4.3260903"
1120,4.3904888684211,50.89779605,"50.89779605,4.39048886842"
1130,4.4125708732431,50.8919661,"50.8919661,4.41257087324"
1140,4.4021602,50.8704524,"50.8704524,4.4021602"
1150,4.4432967,50.8292429,"50.8292429,4.4432967"
1160,4.4331389,50.8156571,"50.8156571,4.4331389"
1170,4.4158177,50.799394,"50.799394,4.4158177"
1180,4.3372348,50.8018201,"50.8018201,4.3372348"
1190,4.3177512,50.8091426,"50.8091426,4.3177512"
1200,4.4284842,50.8466928,"50.8466928,4.4284842"
1210,4.3723364,50.8530739,"50.8530739,4.3723364"
1300,4.607744,50.7164189,"50.7164189,4.607744"
1301,4.5894025,50.7111796,"50.7111796,4.5894025"
1310,4.4796542,50.7315053,"50.7315053,4.4796542"
1315,4.798944,50.6918004,"50.6918004,4.798944"
1320,4.8320079,50.7717493,"50.7717493,4.8320079"
1325,4.6896145,50.7021372,"50.7021372,4.6896145"
1330,4.5272896887008,50.7133548,"50.7133548,4.5272896887"
1331,4.5463113019639,50.73713045,"50.73713045,4.54631130196"
1332,4.4971389344121,50.72074495,"50.72074495,4.49713893441"
1340,4.5804937701303,50.6726725,"50.6726725,4.58049377013"
1341,4.5291742660159,50.6625713,"50.6625713,4.52917426602"
1342,4.5549022761211,50.6851551,"50.6851551,4.55490227612"
1348,4.6141567317211,50.6741689,"50.6741689,4.61415673172"
1350,4.9370984,50.6610719,"50.6610719,4.9370984"
1357,4.9890154,50.7567681,"50.7567681,4.9890154"
1360,4.8134719,50.6234469,"50.6234469,4.8134719"
1367,4.8735246,50.6681389,"50.6681389,4.8735246"
1370,4.8709616,50.7218206,"50.7218206,4.8709616"
1380,4.4844157,50.6860037,"50.6860037,4.4844157"
1390,4.7033973,50.7267076,"50.7267076,4.7033973"
1400,4.3319091758631,50.58916295,"50.58916295,4.33190917586"
1401,4.3586482570372,50.6172472,"50.6172472,4.35864825704"
1402,4.3825954093731,50.58678735,"50.58678735,4.38259540937"
1404,4.2649262209555,50.6048658,"50.6048658,4.26492622096"
1410,4.3978047,50.7173563,"50.7173563,4.3978047"
1420,4.3548145440335,50.6940942,"50.6940942,4.35481454403"
1421,4.3507902353934,50.65630215,"50.65630215,4.35079023539"
1428,4.3670582,50.6483743,"50.6483743,4.3670582"
1430,4.1350275503194,50.67355825,"50.67355825,4.13502755032"
1435,4.6127019,50.6365628,"50.6365628,4.6127019"
1440,4.2666690726132,50.68088165,"50.68088165,4.26666907261"
1450,4.636678,50.6080835,"50.6080835,4.636678"
1457,4.6743285,50.6407147,"50.6407147,4.6743285"
1460,4.2611675641255,50.6463367,"50.6463367,4.26116756413"
1461,4.2964719513591,50.6488039,"50.6488039,4.29647195136"
1470,4.5192034141632,50.63205335,"50.63205335,4.51920341416"
1471,4.4319644959116,50.5929226,"50.5929226,4.43196449591"
1472,4.4015030981612,50.62902485,"50.62902485,4.40150309816"
1473,4.4464886939844,50.63691535,"50.63691535,4.44648869398"
1474,4.4729429472611,50.6269861,"50.6269861,4.47294294726"
1476,4.4110339517433,50.5762935,"50.5762935,4.41103395174"
1480,4.204696,50.69302,"50.69302,4.204696"
