id,propertyID,uRL,description,location,type,details,url2,price,priceHistory,endAuction,statusAuction,zip,county,location_prime,price_num,text,auction_status,Longitude,Latitude,Coordonnees,Fresh_flag,last_pull
1,192968,https://www.biddit.be/fr/catalog/detail/192968,Gunstig gelegen woning,2170 Merksem,Maison,"Informations descriptives
Année de construction
1967
Surface terrain
230 m²
Nombre de façades
2
Nombre de salles de bain
1
Nombre de toilettes
2
Living
Cuisine équipée
Informations supplémentaires
Veranda
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20210201-0002367297-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 1.155
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
woongebied
Type de zone inondable
Partiellement dans une zone sensible aux inondations effectives
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",NA,€ 207.000,"02/04/2021, 05:31:07
Enchère
€ 207.000
01/04/2021, 08:57:37
Enchère
€ 205.000
30/03/2021, 16:30:10
Enchère
€ 203.000
29/03/2021, 23:12:14
Enchère
€ 199.000
29/03/2021, 00:52:28
Enchère
€ 197.000
28/03/2021, 23:20:25
Enchère
€ 195.000
28/03/2021, 22:28:15
Enchère
€ 193.000
28/03/2021, 19:16:18
Enchère
€ 191.000
28/03/2021, 17:55:55
Enchère
€ 189.000
28/03/2021, 17:55:46
Enchère
€ 187.000
28/03/2021, 13:42:04
Enchère
€ 185.000
28/03/2021, 12:42:57
Enchère
€ 171.000
28/03/2021, 12:00:40
Enchère
€ 169.000
28/03/2021, 12:00:24
Enchère
€ 167.000
28/03/2021, 12:00:05
Enchère
€ 165.000
28/03/2021, 12:00:00
Mise à prix
€ 165.000",se termine le 05/04/2021 à 12:00 heure(s),"Temps restant
02
jours
17
heures
:
53
min
:
36
sec
se termine le 05/04/2021 à 12:00 heure(s)",2170,21,0,207000,"<b>€ 207.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/192968'>Maison</a><br/>
Gunstig gelegen woning",Running Auction,4.4453401635115,51.24994295,"51.24994295,4.44534016351",Old_property,02 04 2021
2,193900,https://www.biddit.be/fr/catalog/detail/193900,Ruim perceel bouwgrond,3980 Tessenderlo,Terrain à bâtir,"Informations descriptives
Surface terrain
1665 m²
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Deels Woongebied en deels Woonuitbreidingsgebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",NA,€ 162.000,"30/03/2021, 11:48:52
Enchère
€ 162.000
30/03/2021, 11:48:31
Enchère
€ 161.000
30/03/2021, 11:48:31
Enchère
€ 161.000
30/03/2021, 11:48:06
Enchère
€ 156.000
30/03/2021, 11:48:06
Enchère
€ 155.000
29/03/2021, 18:34:02
Enchère
€ 152.000
29/03/2021, 18:34:02
Enchère
€ 151.000
29/03/2021, 18:33:44
Enchère
€ 141.000
29/03/2021, 18:33:44
Enchère
€ 140.000
29/03/2021, 18:33:25
Enchère
€ 129.000
29/03/2021, 18:33:25
Enchère
€ 128.000
29/03/2021, 18:33:01
Enchère
€ 127.000
29/03/2021, 18:33:01
Enchère
€ 126.000
29/03/2021, 18:32:01
Enchère
€ 125.000
29/03/2021, 17:16:24
Enchère
€ 124.000
29/03/2021, 15:21:53
Enchère
€ 123.000
29/03/2021, 15:09:21
Enchère
€ 122.000
29/03/2021, 10:00:36
Enchère
€ 121.000
29/03/2021, 10:00:15
Enchère
€ 120.000
29/03/2021, 10:00:00
Mise à prix
€ 120.000",se termine le 06/04/2021 à 10:00 heure(s),"Temps restant
03
jours
15
heures
:
53
min
:
36
sec
se termine le 06/04/2021 à 10:00 heure(s)",3980,39,0,162000,"<b>€ 162.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/193900'>Terrain à bâtir</a><br/>
Ruim perceel bouwgrond",Running Auction,5.0893974,51.0681628,"51.0681628,5.0893974",Old_property,02 04 2021
3,193931,https://www.biddit.be/fr/catalog/detail/193931,Gunstig gelegen rijwoning,9160 Lokeren,Maison,"Informations descriptives
Année de construction
1961
Surface terrain
219 m²
Nombre de façades
2
Nombre de salles de bain
1
Nombre de toilettes
2
Living
Cave
Cuisine équipée
Informations supplémentaires
Grenier
Informations énergétiques
Code unique du certificat PEB
20151214-0001819393-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 413
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Entièrement dans une zone sensible aux inondations possibles
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",NA,€ 194.000,NA,se termine le 06/04/2021 à 10:00 heure(s),"Temps restant
03
jours
15
heures
:
53
min
:
36
sec
se termine le 06/04/2021 à 10:00 heure(s)",9160,91,0,194000,"<b>€ 194.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/193931'>Maison</a><br/>
Gunstig gelegen rijwoning",Running Auction,3.965212,51.1487608,"51.1487608,3.965212",Old_property,02 04 2021
11,193387,https://www.biddit.be/fr/catalog/detail/193387,Charmante woning met stallen,3400 Wange,Maison,"Informations descriptives
Surface terrain
2862 m²
Nombre de façades
4
Nombre de salles de bain
1
Nombre de toilettes
3
Living
Salle à manger
Cuisine équipée
Informations supplémentaires
Grenier
Grenier accessible par escalier fixe
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20201201-0002345956-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 842
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application",NA,€ 354.000,"29/03/2021, 20:08:57
Enchère
€ 354.000
29/03/2021, 13:22:52
Enchère
€ 353.000
29/03/2021, 13:01:35
Enchère
€ 352.000
29/03/2021, 13:00:22
Enchère
€ 351.000
29/03/2021, 13:00:17
Enchère
€ 350.000
29/03/2021, 13:00:00
Mise à prix
€ 350.000",se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
53
min
:
14
sec
se termine le 06/04/2021 à 13:00 heure(s)",3400,34,0,354000,"<b>€ 354.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/193387'>Maison</a><br/>
Charmante woning met stallen",Running Auction,5.0074922319452,50.78710135,"50.78710135,5.00749223195",Old_property,02 04 2021
12,193859,https://www.biddit.be/fr/catalog/detail/193859,Perceel bouwgrond,2400 Mol,Terrain à bâtir,"Informations descriptives
Surface terrain
900 m²
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",NA,€ 109.000,"02/04/2021, 16:21:09
Enchère
€ 109.000
02/04/2021, 16:04:43
Enchère
€ 108.000
01/04/2021, 15:10:16
Enchère
€ 107.000
01/04/2021, 13:26:07
Enchère
€ 106.000
29/03/2021, 13:00:05
Enchère
€ 105.000
29/03/2021, 13:00:00
Mise à prix
€ 105.000",se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
53
min
:
14
sec
se termine le 06/04/2021 à 13:00 heure(s)",2400,24,0,109000,"<b>€ 109.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/193859'>Terrain à bâtir</a><br/>
Perceel bouwgrond",Running Auction,5.1155267,51.1840421,"51.1840421,5.1155267",Old_property,02 04 2021
13,194037,https://www.biddit.be/fr/catalog/detail/194037,"Jemeppe-sur-meuse, maison 3 façades à rénover entièrement",4101 Jemeppe-sur-Meuse,Maison,"Informations descriptives
Année de construction
1980
Surface terrain
315 m²
Surface habitable
100 m²
Surface chambre 1
16.45 m²
Surface chambre 2
18.34 m²
État du bâtiment
À rénover
Environnement
Résidentiel
Nombre de façades
3
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Surface living
37.44 m²
Salle à manger
Surface salle à manger
20.67 m²
Cave
Surface cave
21.84 m²
Informations sur le jardin et terrain
Jardin
Orientation jardin
NE
Terrain plat
Cour
Informations sur les commodités et facilités
Écoles
Distance école
700 m
Trains
Distance gare
1500 m
Bus
Distance arrêt de bus
200 m
Commerces
Distance commerces
1000 m
Accès autoroute
Informations énergétiques
Panneaux solaires
Double vitrage
Déclaration environnementale ou permis d'environnement pour citerne(s)
Non
Attestation de conformité de l'installation électrique
Non
Citerne à mazout, gaz ou autre
Autres remarques
Maison incendiée
Informations financières
Libre à partir du
Immédiatemment
Revenu cadastral
€ 314
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Droit de préemption
Vente soumise à autorisation
Site Natura 2000 pressenti ou désigné
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",NA,€ 36.000,"31/03/2021, 10:17:49
Enchère
€ 36.000
31/03/2021, 09:49:31
Enchère
€ 35.000
31/03/2021, 09:49:31
Enchère
€ 34.000
30/03/2021, 14:49:33
Enchère
€ 33.000
30/03/2021, 14:36:28
Enchère
€ 32.000
30/03/2021, 14:12:23
Enchère
€ 31.000
30/03/2021, 13:38:49
Enchère
€ 30.000
30/03/2021, 13:38:18
Enchère
€ 21.000
30/03/2021, 13:38:18
Enchère
€ 21.000
30/03/2021, 12:51:58
Enchère
€ 20.000
30/03/2021, 12:51:58
Enchère
€ 19.000
30/03/2021, 12:51:31
Enchère
€ 18.000
30/03/2021, 12:51:31
Enchère
€ 17.000
29/03/2021, 22:26:44
Enchère
€ 16.000
29/03/2021, 22:26:44
Enchère
€ 15.000
29/03/2021, 18:56:05
Enchère
€ 14.000
29/03/2021, 18:09:14
Enchère
€ 13.000
29/03/2021, 15:46:23
Enchère
€ 12.000
29/03/2021, 13:07:13
Enchère
€ 11.000
29/03/2021, 13:01:02
Enchère
€ 10.000
29/03/2021, 13:00:00
Mise à prix
€ 10.000",se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
53
min
:
09
sec
se termine le 06/04/2021 à 13:00 heure(s)",4101,41,0,36000,"<b>€ 36.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/194037'>Maison</a><br/>
Jemeppe-sur-meuse, maison 3 façades à rénover entièrement",Running Auction,5.5049541,50.6168289,"50.6168289,5.5049541",Old_property,02 04 2021
14,194119,https://www.biddit.be/fr/catalog/detail/194119,Vrijstaande woning,2400 Mol,Maison,"Informations descriptives
Année de construction
1966
Surface terrain
855 m²
Surface habitable
209 m²
Nombre de façades
4
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Salle à manger
Cave
Informations supplémentaires
Parking(s) à l'intérieur
1
Informations énergétiques
Code unique du certificat PEB
20170905-0001989261
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 756
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",NA,€ 193.000,"30/03/2021, 18:06:38
Enchère
€ 193.000
29/03/2021, 18:37:42
Enchère
€ 192.000
29/03/2021, 18:12:52
Enchère
€ 191.000
29/03/2021, 13:00:05
Enchère
€ 190.000
29/03/2021, 13:00:00
Mise à prix
€ 190.000",se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
53
min
:
09
sec
se termine le 06/04/2021 à 13:00 heure(s)",2400,24,0,193000,"<b>€ 193.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/194119'>Maison</a><br/>
Vrijstaande woning",Running Auction,5.1155267,51.1840421,"51.1840421,5.1155267",Old_property,02 04 2021
15,194177,https://www.biddit.be/fr/catalog/detail/194177,Op te frissen woning met tuin,8200 Sint-Michiels,Maison,"Informations descriptives
Année de construction
1964
Surface terrain
140 m²
État du bâtiment
À rafraichir
Nombre de façades
2
Nombre de toilettes
1
Living
Informations supplémentaires
Grenier
Informations sur le jardin et terrain
Terrasse
Jardin
Informations énergétiques
Code unique du certificat PEB
20200729-0002298706-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 570
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
Permis d'urbanisation ou permis de lotir",NA,€ 150.000,NA,se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
53
min
:
04
sec
se termine le 06/04/2021 à 13:00 heure(s)",8200,82,0,150000,"<b>€ 150.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/194177'>Maison</a><br/>
Op te frissen woning met tuin",Running Auction,3.1750054151928,51.18830895,"51.18830895,3.17500541519",Old_property,02 04 2021
16,194373,https://www.biddit.be/fr/catalog/detail/194373,Maison avec jardin dans un cadre champêtre,4140 Dolembreux,Maison,"Informations descriptives
Surface terrain
801 m²
Surface chambre 1
16.1 m²
Surface chambre 2
12.49 m²
État du bâtiment
À rafraichir
Type de chauffage
Mazout
Chauffage central
Nombre de façades
4
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Surface living
32.24 m²
Cuisine équipée
Surface cuisine
12.1 m²
Informations supplémentaires
Grenier
Parking(s) à l'éxtérieur
1
Informations sur le jardin et terrain
Jardin
Informations sur les commodités et facilités
Écoles
Bus
Commerces
Accès autoroute
Informations énergétiques
Code unique du certificat PEB
20201026013692
Consommation spécifique d'énergie primaire en KWh/m²/an
519
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
51804
PEB
Panneaux solaires
Double vitrage
Citerne à mazout, gaz ou autre
Capacité
2400
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 867
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone agricole
Permis d'urbanisme
N° du permis d’urbanisme
109/89
Date du permis d’urbanisme
12/07/1989",NA,€ 188.000,"29/03/2021, 15:14:06
Enchère
€ 188.000
29/03/2021, 15:14:06
Enchère
€ 187.000
29/03/2021, 13:06:58
Enchère
€ 186.000
29/03/2021, 13:06:58
Enchère
€ 185.000
29/03/2021, 13:06:58
Enchère
€ 184.000
29/03/2021, 13:06:58
Enchère
€ 183.000
29/03/2021, 13:06:58
Enchère
€ 182.000
29/03/2021, 13:04:41
Enchère
€ 181.000
29/03/2021, 13:04:41
Enchère
€ 180.000
29/03/2021, 13:04:41
Enchère
€ 179.000
29/03/2021, 13:04:41
Enchère
€ 178.000
29/03/2021, 13:04:41
Enchère
€ 177.000
29/03/2021, 13:04:41
Enchère
€ 176.000
29/03/2021, 13:04:41
Enchère
€ 175.000
29/03/2021, 13:04:41
Enchère
€ 174.000
29/03/2021, 13:04:41
Enchère
€ 173.000
29/03/2021, 13:04:41
Enchère
€ 172.000
29/03/2021, 13:04:41
Enchère
€ 171.000
29/03/2021, 13:04:41
Enchère
€ 170.000
29/03/2021, 13:04:40
Enchère
€ 169.000
Afficher l’historique des enchères",se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
53
min
:
01
sec
se termine le 06/04/2021 à 13:00 heure(s)",4140,41,0,188000,"<b>€ 188.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/194373'>Maison</a><br/>
Maison avec jardin dans un cadre champêtre",Running Auction,5.6466570762919,50.5065636,"50.5065636,5.64665707629",Old_property,02 04 2021
19,194521,https://www.biddit.be/fr/catalog/detail/194521,Volledig te renoveren woning,2980 Zoersel,Maison,"Informations descriptives
Année de construction
1977
Surface terrain
1124 m²
Surface habitable
150 m²
État du bâtiment
À rénover
Nombre de façades
4
Nombre de salles de bain
1
Informations énergétiques
Code unique du certificat PEB
20200723-0002296858-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 1.388
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",NA,€ 190.000,"29/03/2021, 13:00:01
Enchère
€ 190.000
29/03/2021, 13:00:00
Mise à prix
€ 190.000",se termine le 06/04/2021 à 13:00 heure(s),"Temps restant
03
jours
18
heures
:
52
min
:
57
sec
se termine le 06/04/2021 à 13:00 heure(s)",2980,29,0,190000,"<b>€ 190.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/194521'>Maison</a><br/>
Volledig te renoveren woning",Running Auction,4.6455565344486,51.2428446,"51.2428446,4.64555653445",Old_property,02 04 2021
