id,propertyID,uRL,description,location,type,details,location_google,price,priceHistory,endAuction,statusAuction
2297,Code: 193536,https://www.biddit.be/fr/catalog/detail/193536,Maison unifamiliale à restaurer,6010 Couillet,Maison,"Informations descriptives
Surface habitable
85 m²
État du bâtiment
À rénover
Environnement
Urbain
Type de chauffage
Gaz
Nombre de façades
2
Nombre d'unités d'habitation (selon l'urbanisme)
1
Nombre de salles de douche
1
Nombre de toilettes
1
Nombre d'étages
1
Cave
Informations supplémentaires
Grenier
Grenier isolé
Grenier accessible par escalier fixe
Raccordement à l'égoût
Informations sur le jardin et terrain
Jardin
Terrain plat
Informations sur les commodités et facilités
Bus
Commerces
Métro
Accès autoroute
Informations énergétiques
Code unique du certificat PEB
20141023003450
Consommation spécifique d'énergie primaire en KWh/m²/an
441
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
37669
PEB
Panneaux solaires
Double vitrage
Citerne à mazout, gaz ou autre
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 267
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Droit de préemption
Vente soumise à autorisation
Site Natura 2000 pressenti ou désigné
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",,€ 39.000,"12/03/2021, 16:38:24
Enchère
€ 39.000
12/03/2021, 16:29:54
Enchère
€ 38.500
12/03/2021, 16:28:21
Enchère
€ 38.000
12/03/2021, 16:07:32
Enchère
€ 37.500
12/03/2021, 15:46:17
Enchère
€ 37.000
12/03/2021, 14:10:15
Enchère
€ 36.500
12/03/2021, 10:09:41
Enchère
€ 36.000
11/03/2021, 14:41:15
Enchère
€ 35.000
09/03/2021, 11:26:34
Enchère
€ 31.000
09/03/2021, 07:05:16
Enchère
€ 30.500
07/03/2021, 12:31:06
Enchère
€ 30.000
07/03/2021, 12:00:00
Mise à prix
€ 30.000",se termine le 15/03/2021 à 12:00 heure(s),"Temps restant
01
jours
20
heures
:
49
min
:
48
sec
se termine le 15/03/2021 à 12:00 heure(s)"
2298,Code: 192869,https://www.biddit.be/fr/catalog/detail/192869,Immeuble à appartements,4400 Flémalle-Haute,Immeuble à appartements,"Informations énergétiques
Code unique du certificat PEB
20210125016285
Consommation spécifique d'énergie primaire en KWh/m²/an
467
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
117989
PEB
Panneaux solaires
Double vitrage
Citerne à mazout, gaz ou autre
Informations financières
Libre à partir du
À définir
Revenu cadastral
€ 795
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non",,€ 83.000,"13/03/2021, 10:40:02
Enchère
€ 83.000
13/03/2021, 10:40:02
Enchère
€ 82.000
12/03/2021, 10:33:30
Enchère
€ 81.000
08/03/2021, 09:00:07
Enchère
€ 80.000
08/03/2021, 09:00:00
Mise à prix
€ 80.000",se termine le 16/03/2021 à 09:00 heure(s),"Temps restant
02
jours
17
heures
:
49
min
:
48
sec
se termine le 16/03/2021 à 09:00 heure(s)"
2299,Code: 192860,https://www.biddit.be/fr/catalog/detail/192860,Goed gelegen woonhuis,3980 Tessenderlo,Maison,"Informations descriptives
Année de construction
1952
Surface terrain
1085 m²
Nombre de façades
3
Nombre de salles de bain
1
Cave
Informations supplémentaires
Grenier
Informations sur le jardin et terrain
Jardin
Largeur terrain
18 m
Profondeur du terrain
57 m
Informations énergétiques
Code unique du certificat PEB
20201006-0002324355-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 691
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied met landelijk karakter
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 145.000,"12/03/2021, 17:25:00
Enchère
€ 145.000
12/03/2021, 17:09:39
Enchère
€ 144.000
11/03/2021, 11:09:55
Enchère
€ 143.000
11/03/2021, 11:09:50
Enchère
€ 142.000
11/03/2021, 11:03:22
Enchère
€ 141.000
11/03/2021, 10:58:54
Enchère
€ 140.000
11/03/2021, 10:20:08
Enchère
€ 136.000
11/03/2021, 08:48:50
Enchère
€ 135.000
11/03/2021, 07:49:25
Enchère
€ 134.000
10/03/2021, 14:14:00
Enchère
€ 133.000
08/03/2021, 10:52:32
Enchère
€ 132.000
08/03/2021, 10:00:15
Enchère
€ 131.000
08/03/2021, 10:00:06
Enchère
€ 130.000
08/03/2021, 10:00:00
Mise à prix
€ 130.000",se termine le 16/03/2021 à 10:00 heure(s),"Temps restant
02
jours
18
heures
:
49
min
:
47
sec
se termine le 16/03/2021 à 10:00 heure(s)"
2300,Code: 192962,https://www.biddit.be/fr/catalog/detail/192962,Goed gelegen woning,2430 Laakdal,Maison,"Informations descriptives
Année de construction
1979
Surface terrain
420 m²
Surface habitable
143 m²
Nombre de façades
4
Nombre de salles de bain
1
Living
Cuisine équipée
Informations supplémentaires
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20161104-0001908137-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 671
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 125.000,"12/03/2021, 13:09:08
Enchère
€ 125.000
12/03/2021, 13:09:08
Enchère
€ 125.000
12/03/2021, 13:08:57
Enchère
€ 124.000
12/03/2021, 13:08:57
Enchère
€ 123.000
12/03/2021, 13:08:48
Enchère
€ 122.000
12/03/2021, 13:08:48
Enchère
€ 121.000
11/03/2021, 10:52:35
Enchère
€ 120.000
11/03/2021, 10:52:35
Enchère
€ 119.000
08/03/2021, 10:53:36
Enchère
€ 118.000
08/03/2021, 10:53:36
Enchère
€ 117.000
08/03/2021, 10:53:24
Enchère
€ 116.000
08/03/2021, 10:53:24
Enchère
€ 115.000
08/03/2021, 10:00:57
Enchère
€ 114.000
08/03/2021, 10:00:36
Enchère
€ 113.000
08/03/2021, 10:00:21
Enchère
€ 112.000
08/03/2021, 10:00:11
Enchère
€ 111.000
08/03/2021, 10:00:00
Enchère
€ 110.000
08/03/2021, 10:00:00
Mise à prix
€ 110.000",se termine le 16/03/2021 à 10:00 heure(s),"Temps restant
02
jours
18
heures
:
49
min
:
41
sec
se termine le 16/03/2021 à 10:00 heure(s)"
2301,Code: 193012,https://www.biddit.be/fr/catalog/detail/193012,Lot 1 : opbrengsteigendom,2610 Wilrijk,Appartement,"Informations descriptives
Année de construction
1978
Surface terrain
182 m²
Nombre de façades
2
Nombre de salles de bain
3
Nombre de toilettes
7
Living
Salle à manger
Informations supplémentaires
Buanderie
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 4.705
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 628.000,,se termine le 16/03/2021 à 10:00 heure(s),"Temps restant
02
jours
18
heures
:
49
min
:
43
sec
se termine le 16/03/2021 à 10:00 heure(s)"
2302,Code: 193542,https://www.biddit.be/fr/catalog/detail/193542,Gelijkvloers appartement,3950 Bocholt,Rez-de-chaussée,"Informations descriptives
Année de construction
1953
Type de chauffage
Gaz
Nombre de façades
2
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Informations supplémentaires
Buanderie
Parking(s) à l'intérieur
1
Informations énergétiques
Code unique du certificat PEB
20121003-0001221088-00000002-6
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 587
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 70.000,"12/03/2021, 15:34:34
Enchère
€ 70.000
12/03/2021, 14:05:10
Enchère
€ 64.000
10/03/2021, 12:06:17
Enchère
€ 62.000
09/03/2021, 08:34:26
Enchère
€ 61.000
08/03/2021, 10:54:16
Enchère
€ 53.000
08/03/2021, 10:52:53
Enchère
€ 52.000
08/03/2021, 10:08:35
Enchère
€ 51.000
08/03/2021, 10:00:07
Enchère
€ 50.000
08/03/2021, 10:00:00
Mise à prix
€ 50.000",se termine le 16/03/2021 à 10:00 heure(s),"Temps restant
02
jours
18
heures
:
49
min
:
36
sec
se termine le 16/03/2021 à 10:00 heure(s)"
2303,Code: 193818,https://www.biddit.be/fr/catalog/detail/193818,Appartement idéalement situé de +/- 70m²,5020 Champion,Appartement,"Informations descriptives
Surface chambre 1
14 m²
Nombre de salles de bain
1
Étage du bien
1
Living
Cave
Informations énergétiques
Consommation spécifique d'énergie primaire en KWh/m²/an
202
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
13762
PEB
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 790",,€ 99.000,"11/03/2021, 21:08:53
Enchère
€ 99.000
08/03/2021, 10:00:00
Mise à prix
€ 99.000",se termine le 16/03/2021 à 10:00 heure(s),"Temps restant
02
jours
18
heures
:
49
min
:
42
sec
se termine le 16/03/2021 à 10:00 heure(s)"
2304,Code: 192506,https://www.biddit.be/fr/catalog/detail/192506,Instapklare woning,2640 Mortsel,Maison,"Informations descriptives
Année de construction
1963
Surface terrain
278 m²
Nombre de façades
3
Nombre de salles de bain
1
Nombre de toilettes
2
Living
Informations supplémentaires
Parking(s) à l'intérieur
1
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20150227-0001735966-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 1.023
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 245.000,"12/03/2021, 18:55:09
Enchère
€ 245.000
12/03/2021, 17:38:19
Enchère
€ 244.000
12/03/2021, 16:30:46
Enchère
€ 243.000
12/03/2021, 08:21:34
Enchère
€ 242.000
11/03/2021, 13:51:08
Enchère
€ 241.000
11/03/2021, 07:29:32
Enchère
€ 240.000
09/03/2021, 13:43:00
Enchère
€ 239.000
08/03/2021, 11:42:57
Enchère
€ 238.000
08/03/2021, 11:00:21
Enchère
€ 237.000
08/03/2021, 11:00:05
Enchère
€ 235.000
08/03/2021, 11:00:00
Mise à prix
€ 235.000",se termine le 16/03/2021 à 11:00 heure(s),"Temps restant
02
jours
19
heures
:
49
min
:
35
sec
se termine le 16/03/2021 à 11:00 heure(s)"
2305,Code: 192883,https://www.biddit.be/fr/catalog/detail/192883,Residentieel gelegen woning,3668 Niel-bij-As,Maison,"Informations descriptives
Année de construction
1972
Surface terrain
1001 m²
État du bâtiment
Bon
Environnement
Résidentiel
Chauffage central
Nombre de façades
4
Nombre de salles de bain
1
Informations énergétiques
Code unique du certificat PEB
20200603-0002276683-RES-1
PEB
Panneaux solaires
Double vitrage
Attestation de conformité de l'installation électrique
Oui, non conforme
Citerne à mazout, gaz ou autre
Capacité
5000
Attestation de conformité des citernes à mazout, gaz ou autre
Oui, conforme
Informations financières
Libre à partir du
Immédiatemment
Revenu cadastral
€ 1.098
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP
Données relatives à la protection du patrimoine
L'immeuble est-il protégé ou repris dans un inventaire établi? (info: www.onroerenderfgoed.be)
Non",,€ 170.000,"08/03/2021, 11:00:07
Enchère
€ 170.000
08/03/2021, 11:00:00
Mise à prix
€ 170.000",se termine le 16/03/2021 à 11:00 heure(s),"Temps restant
02
jours
19
heures
:
49
min
:
34
sec
se termine le 16/03/2021 à 11:00 heure(s)"
2306,Code: 193014,https://www.biddit.be/fr/catalog/detail/193014,Lot 2 : commercieel gelijkvloers,2610 Wilrijk,Immeuble mixte,"Informations descriptives
Année de construction
1978
Surface terrain
182 m²
Nombre de façades
2
Nombre de toilettes
1
Informations énergétiques
Code unique du certificat PEB
20210114-0002359680-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP",,€ 120.000,,se termine le 16/03/2021 à 11:00 heure(s),"Temps restant
02
jours
19
heures
:
49
min
:
27
sec
se termine le 16/03/2021 à 11:00 heure(s)"
