id,propertyID,url,description,location,type,details,location_google,price,priceHistory,endAuction,statusAuction,zip,county,location_prime,price_num,text,auction_status,Longitude,Latitude,Coordonnees,last_pull
5,191837,https://www.biddit.be/fr/catalog/detail/191837,Een woonhuis,9550 Herzele,Maison,"Informations descriptives
Surface terrain
364 m²
Type de chauffage
Mazout
Nombre de salles de bain
1
Living
Cave
Cuisine équipée
Informations supplémentaires
Grenier
Informations sur les commodités et facilités
Trains
Bus
Commerces
Informations énergétiques
Code unique du certificat PEB
2201018-0002329132-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 629
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP
Données relatives à la protection du patrimoine
L'immeuble est-il protégé ou repris dans un inventaire établi? (info: www.onroerenderfgoed.be)
Non",NA,€ 151.000,"17/02/2021, 17:56:44
Enchère
€ 151.000
17/02/2021, 17:56:44
Enchère
€ 150.000
17/02/2021, 17:56:32
Enchère
€ 143.000
17/02/2021, 17:56:32
Enchère
€ 142.000
17/02/2021, 17:56:26
Enchère
€ 141.000
17/02/2021, 17:56:26
Enchère
€ 140.000
17/02/2021, 17:56:08
Enchère
€ 139.000
17/02/2021, 17:56:07
Enchère
€ 138.000
17/02/2021, 17:55:58
Enchère
€ 137.000
17/02/2021, 17:55:58
Enchère
€ 136.000
17/02/2021, 17:55:46
Enchère
€ 135.000
17/02/2021, 17:55:46
Enchère
€ 134.000
17/02/2021, 17:55:40
Enchère
€ 133.000
17/02/2021, 17:55:40
Enchère
€ 132.000
17/02/2021, 17:54:57
Enchère
€ 131.000
17/02/2021, 17:54:57
Enchère
€ 130.000
17/02/2021, 17:54:41
Enchère
€ 121.000
17/02/2021, 17:54:41
Enchère
€ 120.000
17/02/2021, 17:54:28
Enchère
€ 113.000
17/02/2021, 17:54:28
Enchère
€ 112.000
Afficher l’historique des enchères",se termine le 18/02/2021 à 11:00 heure(s),"Temps restant
12
heures
:
47
min
:
19
sec
se termine le 18/02/2021 à 11:00 heure(s)",9550,95,0,151000,"<b>€ 151.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191837'>Maison</a><br/>
Een woonhuis",Running Auction,3.9158325,50.8726761,"50.8726761,3.9158325",02 03 2021
6,191865,https://www.biddit.be/fr/catalog/detail/191865,Maison d'habitation proche des commerces à rénover,7080 La Bouverie,Maison,"Informations descriptives
Surface terrain
120 m²
État du bâtiment
À rénover
Type de chauffage
Mazout
Nombre de façades
2
Nombre d'unités d'habitation (selon l'urbanisme)
1
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Salle à manger
Informations supplémentaires
Grenier
Grenier isolé
Raccordement à l'égoût
Informations sur le jardin et terrain
Jardin
Informations sur les commodités et facilités
Commerces
Informations énergétiques
Code unique du certificat PEB
20200124
Consommation spécifique d'énergie primaire en KWh/m²/an
697
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
69584
PEB
Panneaux solaires
Double vitrage
Informations financières
Libre à partir du
À définir
Revenu cadastral
€ 290
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Droit de préemption
Vente soumise à autorisation
Site Natura 2000 pressenti ou désigné
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",NA,€ 45.000,"17/02/2021, 18:01:04
Enchère
€ 45.000
17/02/2021, 18:01:04
Enchère
€ 45.000
17/02/2021, 18:00:13
Enchère
€ 44.000
17/02/2021, 18:00:13
Enchère
€ 43.000
17/02/2021, 17:54:05
Enchère
€ 42.000
17/02/2021, 17:54:05
Enchère
€ 41.000
17/02/2021, 17:53:20
Enchère
€ 40.000
17/02/2021, 17:53:20
Enchère
€ 39.000
17/02/2021, 14:46:07
Enchère
€ 38.000
15/02/2021, 20:35:50
Enchère
€ 37.000
10/02/2021, 23:48:20
Enchère
€ 36.000
10/02/2021, 15:48:41
Enchère
€ 35.000
10/02/2021, 14:35:44
Enchère
€ 32.000
10/02/2021, 13:19:07
Enchère
€ 31.000
10/02/2021, 11:00:15
Enchère
€ 30.000
10/02/2021, 11:00:00
Mise à prix
€ 30.000",se termine le 18/02/2021 à 11:00 heure(s),"Temps restant
12
heures
:
47
min
:
19
sec
se termine le 18/02/2021 à 11:00 heure(s)",7080,70,0,45000,"<b>€ 45.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191865'>Maison</a><br/>
Maison d'habitation proche des commerces à rénover",Running Auction,3.8905656,50.4087571,"50.4087571,3.8905656",02 03 2021
7,192454,https://www.biddit.be/fr/catalog/detail/192454,"Terrain à gilly, rue jean jaurès (à côté du n°60)",6060 Gilly,Terrain à bâtir,"Informations descriptives
Surface terrain
246 m²
Obligation de construire
Informations supplémentaires
Raccordement à l'égoût
Informations sur le jardin et terrain
Largeur terrain
10.72 m
Terrain plat
Terrain front de rue
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 2
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",NA,€ 30.000,"16/02/2021, 13:30:29
Enchère
€ 30.000
10/02/2021, 11:00:00
Mise à prix
€ 30.000",se termine le 18/02/2021 à 11:00 heure(s),"Temps restant
12
heures
:
47
min
:
19
sec
se termine le 18/02/2021 à 11:00 heure(s)",6060,60,0,30000,"<b>€ 30.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/192454'>Terrain à bâtir</a><br/>
Terrain à gilly, rue jean jaurès (à côté du n°60)",Running Auction,4.485649013438,50.4269705,"50.4269705,4.48564901344",02 03 2021
8,192052,https://www.biddit.be/fr/catalog/detail/192052,Magnifique terrain à bâtir,5310 Bolinne,Terrain à bâtir,"Informations descriptives
Surface terrain
551 m²
Informations financières
Libre à partir du
À l'acte
Revenu cadastral à définir
Informations urbanistiques
Destination urbanistique la plus récente
zone d’habitat à caractère rural
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non",NA,€ 45.000,"15/02/2021, 07:59:58
Enchère
€ 45.000
10/02/2021, 12:00:00
Mise à prix
€ 45.000",se termine le 18/02/2021 à 12:00 heure(s),"Temps restant
13
heures
:
47
min
:
16
sec
se termine le 18/02/2021 à 12:00 heure(s)",5310,53,1,45000,"<b>€ 45.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/192052'>Terrain à bâtir</a><br/>
Magnifique terrain à bâtir",Running Auction,4.9299565,50.6003478,"50.6003478,4.9299565",02 03 2021
9,191052,https://www.biddit.be/fr/catalog/detail/191052,Op te frissen eengezinswoning,2200 Herentals,Maison,"Informations descriptives
Année de construction
1961
Surface terrain
772 m²
État du bâtiment
À rafraichir
Nombre de façades
4
Nombre de salles de bain
1
Nombre de toilettes
1
Living
Cave
Informations supplémentaires
Grenier
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
20201021-0002330546-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 819
Immeuble de rapport
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
Woongebied
Type de zone inondable
Pas d’application
Permis d'urbanisme",NA,€ 243.000,"16/02/2021, 16:03:14
Enchère
€ 243.000
16/02/2021, 16:03:14
Enchère
€ 242.000
16/02/2021, 16:03:14
Enchère
€ 242.000
16/02/2021, 16:02:39
Enchère
€ 241.000
16/02/2021, 16:02:39
Enchère
€ 240.000
16/02/2021, 16:02:39
Enchère
€ 239.000
16/02/2021, 16:02:39
Enchère
€ 238.000
16/02/2021, 16:02:39
Enchère
€ 237.000
16/02/2021, 16:02:39
Enchère
€ 236.000
16/02/2021, 16:02:39
Enchère
€ 235.000
16/02/2021, 16:02:39
Enchère
€ 234.000
16/02/2021, 16:01:50
Enchère
€ 233.000
16/02/2021, 16:01:50
Enchère
€ 232.000
16/02/2021, 16:01:12
Enchère
€ 231.000
16/02/2021, 16:01:12
Enchère
€ 231.000
16/02/2021, 16:01:12
Enchère
€ 230.000
16/02/2021, 16:01:12
Enchère
€ 229.000
16/02/2021, 16:01:12
Enchère
€ 228.000
16/02/2021, 16:01:12
Enchère
€ 227.000
16/02/2021, 16:01:12
Enchère
€ 226.000
Afficher l’historique des enchères",se termine le 18/02/2021 à 13:00 heure(s),"Temps restant
14
heures
:
47
min
:
13
sec
se termine le 18/02/2021 à 13:00 heure(s)",2200,22,0,243000,"<b>€ 243.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191052'>Maison</a><br/>
Op te frissen eengezinswoning",Running Auction,4.8207801,51.1203399,"51.1203399,4.8207801",02 03 2021
10,191527,https://www.biddit.be/fr/catalog/detail/191527,Centraal gelegen te renoveren rijwoning,3001 Heverlee,Maison,"Informations descriptives
Surface terrain
130 m²
Informations énergétiques
Code unique du certificat PEB
20201006-0002323993-RES-1
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 532
Informations urbanistiques
La destination urbanistique la plus récente de ce bien avec les dénominations utilisées dans le registre des plans.
woongebieden
Type de zone inondable
Pas d’application
(procédure en cours) relative aux mesures de réparation aménagement du territoire
Permis d'urbanisme
Permis d'urbanisation ou permis de lotir
Droit de préemption RUP
Données relatives à la protection du patrimoine
L'immeuble est-il protégé ou repris dans un inventaire établi? (info: www.onroerenderfgoed.be)
Non",NA,€ 225.000,"17/02/2021, 15:45:56
Enchère
€ 225.000
17/02/2021, 13:57:48
Enchère
€ 221.000
15/02/2021, 11:00:39
Enchère
€ 220.000
15/02/2021, 08:59:29
Enchère
€ 216.000
14/02/2021, 13:18:48
Enchère
€ 215.000
13/02/2021, 20:43:43
Enchère
€ 212.000
13/02/2021, 16:47:53
Enchère
€ 211.000
10/02/2021, 18:48:34
Enchère
€ 206.000
10/02/2021, 13:00:36
Enchère
€ 205.000
10/02/2021, 13:00:06
Enchère
€ 165.000
10/02/2021, 13:00:00
Mise à prix
€ 165.000",se termine le 18/02/2021 à 13:00 heure(s),"Temps restant
14
heures
:
47
min
:
04
sec
se termine le 18/02/2021 à 13:00 heure(s)",3001,30,0,225000,"<b>€ 225.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191527'>Maison</a><br/>
Centraal gelegen te renoveren rijwoning",Running Auction,4.6931307510281,50.85172925,"50.85172925,4.69313075103",02 03 2021
11,191964,https://www.biddit.be/fr/catalog/detail/191964,Maison avec cour,7170 La Hestre,Maison,"Informations énergétiques
Code unique du certificat PEB
20201204007918
Consommation spécifique d'énergie primaire en KWh/m²/an
462
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
50585
PEB
Panneaux solaires
Double vitrage
Informations financières
Libre à partir du
À définir
Revenu cadastral
€ 557
Immeuble de rapport",NA,€ 90.000,"10/02/2021, 13:00:18
Enchère
€ 90.000
10/02/2021, 13:00:00
Mise à prix
€ 90.000",se termine le 18/02/2021 à 13:00 heure(s),"Temps restant
14
heures
:
47
min
:
05
sec
se termine le 18/02/2021 à 13:00 heure(s)",7170,71,0,90000,"<b>€ 90.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191964'>Maison</a><br/>
Maison avec cour",Running Auction,4.2358174,50.4738724,"50.4738724,4.2358174",02 03 2021
12,191309,https://www.biddit.be/fr/catalog/detail/191309,Maison avec jardin et dépendance,4161 Villers-aux-Tours,Maison,"Informations descriptives
Année de construction
1987
Surface terrain
516 m²
Surface chambre 1
11.21 m²
État du bâtiment
À rafraichir
Environnement
Rural
Type de chauffage
Électricité
Chauffage central
Nombre de façades
4
Nombre d'unités d'habitation (selon l'urbanisme)
1
Nombre de salles de douche
1
Cuisine équipée
Surface cuisine
18.02 m²
Informations supplémentaires
Grenier
Informations sur le jardin et terrain
Jardin
Informations sur les commodités et facilités
Écoles
Commerces
Informations énergétiques
Code unique du certificat PEB
20201019011090
Consommation spécifique d'énergie primaire en KWh/m²/an
790
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
46947
PEB
Panneaux solaires
Double vitrage
Citerne à mazout, gaz ou autre
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 485
Immeuble de rapport
Informations urbanistiques
Destination urbanistique la plus récente
zone d’habitat à caractère rural
Permis d'urbanisme
N° du permis d’urbanisme
751/834",NA,€ 70.000,"17/02/2021, 19:49:39
Enchère
€ 70.000
10/02/2021, 13:00:00
Mise à prix
€ 70.000",se termine le 18/02/2021 à 13:00 heure(s),"Temps restant
14
heures
:
47
min
:
05
sec
se termine le 18/02/2021 à 13:00 heure(s)",4161,41,0,70000,"<b>€ 70.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191309'>Maison</a><br/>
Maison avec jardin et dépendance",Running Auction,5.5122974,50.4969412,"50.4969412,5.5122974",02 03 2021
16,192288,https://www.biddit.be/fr/catalog/detail/192288,Maison 3 façades + garage et jardin à front de la r houtart,6030 Marchienne-au-Pont,Maison,"Informations descriptives
Surface terrain
362 m²
Surface habitable
79 m²
État du bâtiment
À rénover
Type de chauffage
Mazout
Chauffage central
Nombre de façades
3
Nombre de salles de bain
1
Nombre de toilettes
1
Nombre d'étages
2
Informations supplémentaires
Grenier
Grenier isolé
Raccordement à l'égoût
Veranda
Informations sur le jardin et terrain
Jardin
Informations énergétiques
Code unique du certificat PEB
202105012649
Consommation spécifique d'énergie primaire en KWh/m²/an
552
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
52833
PEB
Panneaux solaires
Citerne à mazout, gaz ou autre
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 352
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Droit de préemption
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non
Procédure de classement au patrimoine",NA,€ 58.000,"16/02/2021, 08:51:42
Enchère
€ 58.000
15/02/2021, 22:45:04
Enchère
€ 55.000
15/02/2021, 15:55:44
Enchère
€ 52.000
15/02/2021, 09:07:00
Enchère
€ 51.000
15/02/2021, 09:00:08
Enchère
€ 45.000
15/02/2021, 09:00:00
Mise à prix
€ 45.000",se termine le 23/02/2021 à 09:00 heure(s),"Temps restant
05
jours
10
heures
:
46
min
:
52
sec
se termine le 23/02/2021 à 09:00 heure(s)",6030,60,0,58000,"<b>€ 58.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/192288'>Maison</a><br/>
Maison 3 façades + garage et jardin à front de la r houtart",Running Auction,4.3611946147288,50.41684425,"50.41684425,4.36119461473",02 03 2021
17,191266,https://www.biddit.be/fr/catalog/detail/191266,Maison 3 chambres avec grand jardin à montegnée,4420 Montegnée,Maison,"Informations descriptives
Surface habitable
124 m²
État du bâtiment
À rénover
Nombre de salles de bain
1
Living
Surface living
40 m²
Cave
Surface cave
20 m²
Informations sur le jardin et terrain
Jardin
Surface jardin
862 m²
Informations énergétiques
Code unique du certificat PEB
20200512007988
Consommation spécifique d'énergie primaire en KWh/m²/an
782
Consommation théorique totale d'énergie primaire en KWH/an (valeur)
97007
PEB
Attestation de conformité de l'installation électrique
Oui, non conforme
Informations financières
Libre à partir du
À l'acte
Revenu cadastral
€ 348
Informations urbanistiques
Destination urbanistique la plus récente
zone d'habitat
Infraction urbanistique ?
Permis d'urbanisme
Permis d'urbanisme de constructions groupées
Permis d'urbanisation ou permis de lotir
Données relatives à la protection du patrimoine
Inscription à la liste de sauvegarde ou de classement du patrimoine immobilier ?
Non",NA,€ 116.000,"17/02/2021, 11:55:41
Enchère
€ 116.000
17/02/2021, 10:48:50
Enchère
€ 115.000
16/02/2021, 09:37:29
Enchère
€ 111.000
16/02/2021, 00:25:17
Enchère
€ 110.000
16/02/2021, 00:06:48
Enchère
€ 109.000
15/02/2021, 22:35:07
Enchère
€ 108.000
15/02/2021, 22:27:15
Enchère
€ 107.000
15/02/2021, 19:27:47
Enchère
€ 106.000
15/02/2021, 19:26:44
Enchère
€ 105.000
15/02/2021, 17:26:33
Enchère
€ 101.000
15/02/2021, 10:15:35
Enchère
€ 100.000
15/02/2021, 10:15:35
Enchère
€ 100.000
15/02/2021, 10:11:26
Enchère
€ 75.000
15/02/2021, 10:11:26
Enchère
€ 74.000
15/02/2021, 10:07:09
Enchère
€ 73.000
15/02/2021, 10:07:09
Enchère
€ 72.000
15/02/2021, 10:04:39
Enchère
€ 71.000
15/02/2021, 10:03:27
Enchère
€ 70.000
15/02/2021, 10:02:45
Enchère
€ 47.000
15/02/2021, 10:02:45
Enchère
€ 46.000
Afficher l’historique des enchères",se termine le 23/02/2021 à 10:00 heure(s),"Temps restant
05
jours
11
heures
:
46
min
:
51
sec
se termine le 23/02/2021 à 10:00 heure(s)",4420,44,0,116000,"<b>€ 116.000 euros</b><br/>
 <a href='https://www.biddit.be/fr/catalog/detail/191266'>Maison</a><br/>
Maison 3 chambres avec grand jardin à montegnée",Running Auction,5.539419,50.6305341,"50.6305341,5.539419",02 03 2021
